storename,paintcount,sumsaleprice
"THE BIKE SHOP INC",1,2650.0000
"BIKE TECH",1,2650.0000
"MAIN STREET CYCLES",1,2650.0000
"CYCLE WORLD",1,2680.0000
"LIGHTNING CYCLES",1,2700.0000
"MAPLEWOOD SCHWINN CYCLING",1,2700.0000
"HONKER HANGAR BIKE SHOP",1,2700.0000
"CALABASH BICYCLE REPAIRS",1,2730.0000
"ENCORE CYCLE & FITNESS",1,2730.0000
"INTERWHEEL SPORTS INC",1,2740.0000
"SCHEELS SPORTS",1,2740.0000
"CLACKAMAS CYCLE WORLD",1,2740.0000
"METRO BIKES INC",1,2760.0000
SPORTMART,1,2780.0000
"THE BIKE ROUTE",1,2800.0000
"DTS INTERNATL INC",1,2870.0000
"DENVER'S SPOKE SHOPS",1,2900.0000
"THE BLT SHOP",1,2900.0000
"FOUR SONS CYCLERY",1,2920.0000
"SELF-PROPULSION INC",1,2940.0000
"LAKE SHORE SCHWINN CYCLERY",1,2960.0000
"BIKE PATH",1,2990.0000
"THE BIKE SHOP",1,3000.0000
"YELLOW JERSEY",1,3000.0000
"MIKE'S BICYCLE ADVENTURE",1,3020.0000
"TAILWIND CYCLING & FITNESS",1,3020.0000
"JIM'S BICYCLE SHOP",1,3040.0000
"BICYCLE BILL'S",1,3060.0000
"DAVE'S CYCLE SHOP",1,3070.0000
"CYCLES & THINGS",1,3080.0000
"BIKE AGE",1,3100.0000
"BIKETECH BICYCLE REPAIR",1,3150.0000
"TRIMSPORT CYCLE",1,3160.0000
"RUDY'S BICYCLE SHOP",1,3160.0000
"MILLERS CYCLING & FITNESS CTR",1,3160.0000
"SPOKE N WHEEL",1,3170.0000
"OLYMPIC SPORTS",1,3180.0000
"Y NOT CYCLING & FITNESS",1,3190.0000
"DALTON BICYCLE WORKS",1,3200.0000
"FLEET BIKE SHOP",1,3210.0000
"SOUTHWEST SCHWINN CYCLERY",1,3220.0000
"S & S CYCLES",1,3280.0000
"FLYTHE CYCLERY",1,3300.0000
"EADS SUPPLY & CYCLE SALES",1,3310.0000
"RG'S BICYCLE SHOP",1,3310.0000
"WEST U SCHWINN",1,3320.0000
"GREEN FROG BMX RACING",1,3350.0000
"BIKE ADDICTS",1,3360.0000
"SCHELLER'S FITNESS & CYCLING",1,3370.0000
"SPEED CYCLE",1,3380.0000
"MOE'S BIKE SHOP",1,3390.0000
"EASY RIDER BIKE SHOP",1,3390.0000
"SOUTH COUNTY CYCLERY INC",1,3410.0000
"SPORTSMAN HANGOUT",1,3430.0000
"PITTSBURGH PRO BICYCLES INC",1,3440.0000
"EZ PAWN",1,3440.0000
"THE TOURING CYCLIST",1,3450.0000
"BOB'S BIKES INC",1,3460.0000
"ALPINE CYCLES",1,3480.0000
"BAY AREA SCHWINN CYCLING",1,3500.0000
"CHELSEA BIKE & SPORTS",1,3510.0000
"SIGNS & CYCLES",1,3530.0000
"SUN CITY CYCLERY",1,3530.0000
"BICYCLE SHOP",1,3550.0000
"CARL'S GAS SERVICE",1,3570.0000
"PAQUETTE'S CYCLE & SKI",1,3610.0000
"DAVE'S BIKEFIX",1,3640.0000
"CRESCENT CITY BICYCLES",1,3640.0000
"WAYNE CYCLERY",1,3750.0000
"MERCED BIKE",2,3750.0000
"ALL STAR BIKE SHOPS INC",1,3780.0000
"BIKES AND MOORE",1,3830.0000
"SPOKE AND PEDAL",1,3840.0000
"ALOHA BICYCLE CENTER",1,3850.0000
"FAIRWOOD CYCLE CENTER",1,3870.0000
"SAINT HELENA CYCLERY",1,3870.0000
"ROD'S BIKE SHOP",1,3890.0000
"LA HABRA CYCLERY",1,3900.0000
"FOWLER KARL'S BIKE SHOP",1,3940.0000
"BIKE COUNTRY",1,3970.0000
"BERNIE'S BICYCLE SHOP",1,4020.0000
"COWART EQUIPMENT CO",1,4030.0000
"CYCLE-LOGIC SPORTS SHOP",1,4110.0000
"ACTION BIKE SHOP",1,4170.0000
"NORTH RIVER CYCLE",1,4190.0000
"WHEEL WORLD CYCLES",1,4190.0000
BIKE-O-RAMA,1,4200.0000
"NOVA CYCLING & FITNESS",1,4220.0000
"BAY VIEW FITNESS & CYCLE",1,4220.0000
"JOE'S CYCLE CENTER",1,4270.0000
"BIKE SHOP",2,4280.0000
"EL PEDAL DE ORO",1,4290.0000
"WORLD CYCLE",1,4330.0000
"THE ANNEX",1,4380.0000
"EUROPEAN CYCLES",1,4400.0000
"CONCHO BIKE SHOP",1,4490.0000
"B & S ENTERPRISES",1,4490.0000
"BIKE WORLD",2,4530.0000
"BIKE BUSINESS",1,4570.0000
"CAPITOL SCHWINN CYCLERY",2,4670.0000
"OSCAR WASTYN CYCLES",2,4950.0000
"RASCHE CYCLE CO",2,4980.0000
"ARTHUR'S BIKE SHOP",2,5040.0000
"SOCKS PLUS",2,5340.0000
"PEDALS PLUS BICYCLE SHOP",2,5450.0000
"CROMER'S ACE SUPER BIKE WORLD ALEDO",2,5530.0000
"ISLAND BIKE & SURF SHOP",2,5650.0000
"BLUEGRASS CYCLE",2,5670.0000
"F & M CYCLERY",1,5710.0000
"HOG WILD BICYCLES",2,5730.0000
"MIKE'S BIKES",2,5750.0000
"BICYCLES ETC",2,5870.0000
"WRIGHT BROS CYCLERY & FITNS",2,5940.0000
"ASHLAND BICYCLE CENTER",2,6030.0000
"HARRISON'S BICYCLE SHOP",2,6240.0000
"SCHWINN DENNISON CYCLERY",3,6500.0000
"KESSLER'S BICYCLE CENTER",2,6600.0000
"BIKECOLOGY BIKE SHOPS",2,6630.0000
"FORT WORTH CYCLING & FITNS CTR",2,6720.0000
"DAKOTA OUTDOORS",3,6760.0000
"NUTLEY BIKE SHOP",2,6910.0000
"PALMS CYCLE",2,7300.0000
"SPOKES 'N STUFF",2,7600.0000
"MARTIN I IMPORTS BICYCLES",3,8730.0000
"BIKE ROUTE",3,9250.0000
"MONTGOMERY CYCLERY INC",3,9340.0000
"SAFETY CYCLE SHOP",3,9530.0000
TRIATHLETE,3,9720.0000
"TONY'S SCHWINN BIKE SHOP",4,9760.0000
"TWIN BICYCLE",3,9850.0000
"THE FRENCH BICYCLE SHOP",4,10690.0000
"BIKECOLOGY SANTA MONICA",4,10760.0000
"BICYCLE DOCTOR",4,11090.0000
"TOM'S WHEELWORKS BICYCLE SHOP",3,11530.0000
"FLORENCE CYCLE SHOP",4,11910.0000
"HELEN'S CYCLES",4,11940.0000
"ADAMS MOPEDS & BICYCLES",3,12030.0000
"COLLINS BICYCLE SHOP",4,13160.0000
"SPORT CHALET",4,13560.0000
"PERFORMANCE BICYCLE SHOP",5,14844.0000
"SOMOZA'S BIKE SHOP",6,16910.0000
"BEVERLY HILLS BIKE SHOP",5,18640.0000
"BUDGET PRO BICYCLES",8,25870.0000
"Direct Sales",263,808463.1500
Walk-In,1386,4251790.0000
