storename,Avg_list_price,Avg_sale_price
"ROD'S BIKE SHOP",3951.94500000,3945.00000000
"ONCE RIDDEN BIKES",3949.20000000,3940.00000000
"BICYCLE BARN/LIFE CYCLE",3949.20000000,3940.00000000
"EULERS CYCLING & FITNESS CTR",3947.25000000,3940.00000000
"FREEWHEELS BICYCLE SHOP",3945.03000000,3940.00000000
"ANSLEY SCHWINN ATLANTA CYCL",3944.89000000,3940.00000000
"BICYCLE-X-CHANGE EAST",3944.22000000,3940.00000000
"CROSSTOWN REPAIR SHOP",3943.19000000,3940.00000000
VELOMEISTER,3941.85000000,3940.00000000
"TOURING CYCLIST",3939.66000000,3930.00000000
"BOUNTIFUL BICYCLE CENTER",3939.66000000,3930.00000000
"HASTINGS SCHWINN CYCLING",3935.84000000,3930.00000000
"PRIMO BICYCLE WORKS INC",3923.72000000,3920.00000000
"C A MUELLER",3921.64000000,3915.00000000
"HAMEL'S ACTION SPORTS CENTER",3916.68000000,3910.00000000
"SOFT SPOKIN'",3915.78000000,3910.00000000
"FRENCHIE'S BICYCLE",3915.78000000,3910.00000000
"ROBINSON'S BICYCLE SHOP",3907.10000000,3900.00000000
"LA HABRA CYCLERY",3906.48000000,3900.00000000
"ALL STAR BIKE SHOPS INC",3904.31000000,3900.00000000
"SIERRA CYCLESMITH",3903.62000000,3900.00000000
"ON YOUR LEFT CYCLES",3902.64000000,3900.00000000
"CATALINA BICYCLE SHOP",3899.66000000,3890.00000000
"EUROPEAN CYCLES",3888.64500000,3885.00000000
"PAIA BIKE SHOP",3887.09000000,3880.00000000
"GUTHRIE BICYCLE",3886.58000000,3880.00000000
"LIGHT STREET CYCLES",3885.40000000,3880.00000000
"SAINT HELENA CYCLERY",3875.37000000,3870.00000000
"FAIRWOOD CYCLE CENTER",3870.40000000,3870.00000000
"CUSTOM BICYCLE SALES INC",3862.55000000,3860.00000000
"D F C CYCLES & FITNESS",3860.11000000,3860.00000000
"CENTENNIAL CYCLE INC",3853.72500000,3850.00000000
"ALOHA BICYCLE CENTER",3853.64000000,3850.00000000
"NORTH SHORE CYCLERY",3850.70000000,3850.00000000
"BIKE BUSINESS",3850.46000000,3845.00000000
"PRO CYCLE REPAIR",3843.51000000,3840.00000000
WHEELWORKS,3842.81000000,3840.00000000
"EAST COAST SKI-N-ADVENTURE",3835.14000000,3830.00000000
"OUT SPOKEN",3834.50000000,3830.00000000
"GRAND CYCLE",3831.06000000,3830.00000000
"CLARKE CYCLES",3825.09000000,3820.00000000
"PAGE BICYCLES",3823.20000000,3820.00000000
"DAVE'S BICYCLE CENTER",3819.06000000,3810.00000000
"N-B-M DISCOUNT SALES",3810.98000000,3810.00000000
"HIGH WHEELER",3808.19000000,3800.00000000
"ELEPHANT'S PERCH",3806.65000000,3800.00000000
"DAVIDS BICYCLE REPAIR & ASMBLY",3790.81000000,3790.00000000
"PRINCETON SPORTS",3789.21000000,3780.00000000
"BRITTON'S BICYCLE SHOP",3781.41500000,3775.00000000
"J & R LYONS BICYCLE SHOP",3775.88000000,3770.00000000
"DAYTONA BIKE SHOP",3775.61000000,3770.00000000
"WESTSIDE CYCLERY",3766.37000000,3760.00000000
"SIERRA BICYCLE WORKS",3762.17000000,3760.00000000
"BICYCLE HUT",3757.63000000,3750.00000000
"JOE HASKINS BICYCLE SHOP",3757.58000000,3750.00000000
"GLACIER CYCLERY",3756.42500000,3750.00000000
"TOWN & COUNTRY CYCLE SALES",3748.33500000,3740.00000000
"CLIFTON CYCLE INFIRMARY",3747.30000000,3740.00000000
"XXX SPORTS",3729.07000000,3720.00000000
"SPOKEN WHEEL CYCLERY",3726.16000000,3720.00000000
"THE SPORTS AUTHORITY",3726.16000000,3720.00000000
"JAMESTOWN CYCLE SHOP INC",3713.95000000,3710.00000000
"OZARK BICYCLE SALES & SERV",3709.56000000,3700.00000000
"WILLIAMSON BICYCLE WORKS",3698.41000000,3690.00000000
"DON'S BIKE SHOP",3695.11500000,3690.00000000
"FREDERICK SCHWINN CYCLING",3694.16000000,3690.00000000
"VALLEY SKI & BIKE",3691.55000000,3690.00000000
"BIKERS & HIKERS",3688.67000000,3680.00000000
"PAUL'S BICYCLE SHOP",3688.14000000,3680.00000000
"LABAUVE BICYCLE STORE",3681.88000000,3675.00000000
"THE BIKE CENTER",3680.46500000,3675.00000000
"WHEEL WORLD CYCLES",3674.86583333,3670.83333333
"DIABLO BIKE OF WALNUT CREEK",3671.79000000,3670.00000000
SPORTSTOWN,3671.73500000,3665.00000000
"MACALESTER BIKE & SKATE EXCH",3671.70000000,3670.00000000
"PIRAGIS NORTHWOODS CO",3670.28000000,3670.00000000
"TIPP CYCLERY",3653.91000000,3650.00000000
"LIVINGSTON CYCLE",3648.78000000,3640.00000000
"CRESCENT CITY BICYCLES",3642.00000000,3640.00000000
"DAVE'S BIKEFIX",3640.42000000,3640.00000000
"BOB'S CYCLE CENTER",3640.25000000,3635.00000000
"NEWPORT CYCLERY",3634.68000000,3630.00000000
"THE BICYCLE BUSINESS",3634.38500000,3630.00000000
"BIKESMITHS BICYCLE SHOP",3628.89000000,3620.00000000
"NEWINGTON BICYCLE & REPAIR SHOP",3626.02500000,3620.00000000
"ROCKY MOUNTAIN SPORTS",3622.56000000,3620.00000000
"DOWN TOWN DISCOUNTS",3611.52500000,3605.00000000
"GRANDVIEW CYCLE SHOP",3605.02500000,3600.00000000
"HIGHLANDER & CYCLING",3604.37000000,3600.00000000
"THE BIKE SHOP INC",3604.02500000,3600.00000000
"PROGRESSIVE BICYCLES",3603.18000000,3600.00000000
"PENN CYCLE",3600.38500000,3595.00000000
"BOHEMIAN BICYCLES",3597.80000000,3590.00000000
"PALMS CYCLE",3596.70593750,3591.25000000
"RICHARDS CYCLE COMPANY",3595.82250000,3592.50000000
"B C S BICYCLES",3587.00000000,3580.00000000
"BRUCE BURR SOLO CSTM BICYCLES",3586.55000000,3580.00000000
"A J BARNES BICYCLE EMPORIUM",3584.62000000,3580.00000000
"SANDPIPER BIKE REPAIR",3582.18000000,3580.00000000
"LINCOLN CYCLE CENTER",3578.82500000,3570.00000000
"CIRCLE CITY CYCLERY",3578.77000000,3570.00000000
"BIKES AND MORE INC",3575.00000000,3570.00000000
"BLOOMFIELD BICYCLE & REPAIR SHOP",3571.04000000,3570.00000000
"IRV'S BIKE SHOP INC",3553.29500000,3550.00000000
"ACTION BICYCLES",3551.90000000,3550.00000000
"SIGNS & CYCLES",3539.48000000,3530.00000000
"SUN CITY CYCLERY",3537.40000000,3530.00000000
"BATTLEFIELD BIKE SHOP",3533.38000000,3530.00000000
"RG'S BICYCLE SHOP",3531.40000000,3525.00000000
"SPORT & CYCLE",3531.19000000,3530.00000000
"TEMPLE CITY BIKE SHOP",3527.95500000,3525.00000000
"SPEEDY BICYCLES",3526.70000000,3520.00000000
"JITENSHA STUDIO",3524.45000000,3520.00000000
"FOWLER KARL'S BIKE SHOP",3524.38000000,3520.00000000
"PERFORMANCE BICYCLE STORE",3516.72000000,3510.00000000
"BIKES AND BARGAINS",3513.60000000,3510.00000000
"K & A CYCLERY",3506.76000000,3500.00000000
"BIKES FOR THE LIKES OF US",3498.80000000,3490.00000000
"PATTERSON SCHWINN CYCLERY",3497.84000000,3490.00000000
"GLENDOLA BICYCLE",3495.72000000,3490.00000000
"BEST BICYCLE SHOP",3484.80000000,3480.00000000
"CHEVY CHASE BICYCLE SERVICE",3483.96500000,3475.00000000
GIBSON'S,3483.40000000,3480.00000000
"KID COUNTRY",3481.65000000,3475.00000000
"ALPINE CYCLES",3480.50000000,3480.00000000
"CAMELOT BIKE & SKI SHOP",3479.56000000,3470.00000000
"WESTSIDE SCHWINN",3477.91000000,3470.00000000
"BICYCLE HANGAR",3477.47000000,3470.00000000
"RECYCLED SPORTS",3477.20000000,3470.00000000
"RUSSELL'S SPORT 'N BIKE",3476.21000000,3470.00000000
"MADDEN FACTORY STORE",3472.54500000,3447.50000000
"CHAMPAIGN CYCLE CO",3469.18000000,3460.00000000
"LAKEWOOD CYCIERY",3466.56500000,3460.00000000
"BOB'S BIKES INC",3466.19000000,3460.00000000
"KNIGHT'S BICYCLE SHOP",3465.27000000,3460.00000000
"VAIL BICYCLE SERVICES-VBS",3465.27000000,3460.00000000
"SPOKE N WHEEL",3464.85333333,3460.00000000
"NUTLEY BIKE SHOP",3458.10000000,3455.00000000
"CHAMPION MEGACYCLES",3457.27500000,3450.00000000
"INTERNATIONAL BICYCLES",3453.60000000,3450.00000000
"SARASOTA SCHWINN CYCLERY INC",3451.72000000,3450.00000000
"BELLINGHAM BIKE WORKS",3446.93000000,3440.00000000
"HAMILTON BICYCLES",3446.05000000,3440.00000000
"PAULS SCHWINN CYCLING & FITNS",3443.04000000,3440.00000000
"IDAHO FENCE CO",3440.32000000,3440.00000000
"HARBOR BICYCLES",3440.02500000,3435.00000000
"KESSLER'S BICYCLE CENTER",3437.47600000,3432.00000000
"TRI CY WORLDS LARGEST SPORT",3433.60000000,3430.00000000
"OUR BOYS & GIRLS BICYCLE YARD",3433.39333333,3430.00000000
"BIKECOLOGY BIKE SHOPS",3432.99714286,3428.57142857
"MICHAELS CYCLERY SKI & FITNESS",3432.28000000,3430.00000000
"COLLINS BICYCLE SHOP",3424.48454545,3420.00000000
"BICYCLE CENTER USA",3418.94000000,3410.00000000
"GREEN RIVER CYCLERY",3416.70000000,3410.00000000
"RAPID TRANSIT CYCLE SHOP",3409.76000000,3400.00000000
"ERIK'S BIKE",3409.76000000,3400.00000000
"INTERNATIONAL BIKE SHOP",3405.96000000,3400.00000000
"CROSS COUNTRY SPORTS",3405.32500000,3400.00000000
"THE BIKE STATION",3403.10500000,3400.00000000
"CAMARILLO BIKE COMPANY",3402.06333333,3396.66666667
"DEBO'S BIKE SHOPPE",3401.85000000,3400.00000000
"MOE'S BIKE SHOP",3396.90000000,3390.00000000
"EASY RIDER BIKE SHOP",3396.34000000,3390.00000000
"R & R BICYCLE",3390.45666667,3383.33333333
"CAPITOL BICYCLES",3387.80000000,3380.00000000
BIKESPORT,3385.44666667,3376.66666667
"MOUNTAIN MANN BICYCLES",3385.19000000,3380.00000000
"KING OF BIKES",3381.87000000,3380.00000000
"BEVERLY HILLS BIKE SHOP",3380.72193548,3375.48387097
"PHIL'S BICYCLE SHOP",3377.00000000,3370.00000000
"MIAMI FANTASIAS",3374.51000000,3370.00000000
"THORNES BEDFORD BICYCLE CENTER",3370.82000000,3370.00000000
"PARAMOUNT BIKE SHOP",3370.49000000,3370.00000000
"THE FRENCH BICYCLE SHOP",3370.43437500,3365.93750000
"CROSSROADS CYCLING & FITNESS",3365.75000000,3360.00000000
"GREEN FROG BMX RACING",3359.60000000,3350.00000000
"BOBS SCHWINN CYCLING & FITNS",3359.49000000,3350.00000000
"RAMSEY BICYCLE & SKI SHOP",3353.77500000,3350.00000000
"MA & PA'S BICYCLES",3350.77000000,3350.00000000
"CENTRAL BIKE",3346.32000000,3340.00000000
"THE ANNEX",3343.14558824,3337.94117647
"MIDWEST CYCLERY WESTPORT",3340.72000000,3340.00000000
"QUICK RELEASE BIKE SHOP",3339.88000000,3330.00000000
"TULLIO'S BIG DOG CYCLERY",3338.11000000,3330.00000000
CYCLES,3337.43000000,3330.00000000
TRIATHLETE,3329.06666667,3323.66666667
"BIKE LINE OF LAUREL",3326.88000000,3320.00000000
"BAYNESVILLE BICYCLE SERVICE",3326.20333333,3323.33333333
"BIKECOLOGY SANTA MONICA",3324.32354839,3319.67741935
"BOULEVARD SPORTS",3322.01000000,3322.01000000
"BICYCLES ETC INC",3320.65000000,3300.00000000
"BIKE MASTERS",3320.04000000,3320.00000000
"CHELSEA BIKE & SPORTS",3319.91000000,3315.00000000
"BIKE AMERICA AT PALM COAST INC",3314.32000000,3310.00000000
"WORLD CYCLE",3311.46000000,3306.66666667
"DR SPOKE BICYCLE SHOPPE",3310.01000000,3310.00000000
"SAINT MORITZ SKI & SPORT",3308.80000000,3300.00000000
"MIDDLETOWN CYCLE CENTER",3302.39000000,3300.00000000
FUNSPORTS,3301.98500000,3295.00000000
"BICYCLE SPORTS",3300.60000000,3300.00000000
"CYCLING CONCEPTS INC",3297.85000000,3290.00000000
"CRANFORD BIKE SHOP",3297.56000000,3290.00000000
FARR'S,3294.77000000,3290.00000000
"AUSTRIA CYCLES",3294.06000000,3290.00000000
"BROADWAY BICYCLE INC",3293.40500000,3290.00000000
"EVANSTON SCHWINN CYCLERY",3293.24500000,3290.00000000
"BIKE LINE OF SOUTH HILLS",3290.24000000,3260.00000000
"KENT'S SPORTS STORE",3290.24000000,3200.00000000
"HILLSBORO BICYCLE CENTER",3286.28000000,3280.00000000
"HUDSON TRAIL OUTFITTERS LTD",3286.27000000,3280.00000000
"BANGTAIL BIKES",3286.19000000,3285.00000000
"S & S CYCLES",3286.16000000,3280.00000000
"DURST CYCLE COMPANY",3283.87000000,3280.00000000
"BLUE'S BIKE & FITNESS CENTER",3283.34000000,3280.00000000
"THE BICYCLE EXCHANGE",3281.79750000,3277.50000000
"GLENDALE CYCLERY",3279.32333333,3273.33333333
"SOUTHEAST DIVING & SPORTS",3278.43000000,3270.00000000
"BICYCLE BILL'S",3275.53500000,3270.00000000
"WHEELING CYCLE & MARINE",3275.39000000,3270.00000000
"BIGHORN BIKE SHOP",3273.30000000,3270.00000000
"SOCKS PLUS",3273.09478261,3267.82608696
"THE TOURING CYCLIST",3267.58000000,3260.00000000
"HENRY'S BIKE SHOP",3266.10687500,3261.56250000
"PAPILLON CYCLES",3264.32000000,3260.00000000
"BICYCLE DOCTOR",3264.27980769,3259.61538462
"REM CYCLE",3261.72000000,3260.00000000
"TOM'S WHEELWORKS BICYCLE SHOP",3261.35928571,3257.14285714
"SPOKES 'N STUFF",3261.32291667,3255.41666667
"ZEELAND SCHWINN CYCLE & FITNS",3260.96000000,3260.00000000
"EL PEDAL DE ORO",3260.83258065,3254.83870968
"DOWNEY CYCLERY",3260.80000000,3260.00000000
"ALL AMERICAN BIKE & FITNS CTR",3257.16000000,3250.00000000
"THE RACERS EDGE",3254.81000000,3250.00000000
"BUDGET PRO BICYCLES",3248.00826087,3243.18840580
"CROSSTOWN CYCLE & FITNESS",3246.88000000,3240.00000000
"INWOOD CYCLE",3245.91000000,3240.00000000
"UNION CYCLE CENTER",3244.10000000,3225.00000000
"ADDISON CYCLE CNTR LTD",3241.64000000,3240.00000000
"MOUNTAINLAND RV PARTS CTR INC",3240.01000000,3235.00000000
"SANTIAGO CYCLING & FITNESS CTR",3234.56000000,3230.00000000
"EICK'S FAMILY BIKES",3233.07000000,3233.07000000
"BICYCLE DEPOT",3232.86500000,3225.00000000
"HOSTEL SHOPPE",3230.48000000,3200.00000000
"RAINBOW CYCLE SPORT INC",3229.50000000,3220.00000000
"SIX SIGMA WHEELS",3226.11000000,3220.00000000
"SOUTHWEST SCHWINN CYCLERY",3224.58000000,3220.00000000
"SAFETY CYCLE SHOP",3222.37451613,3217.74193548
"BICYCLE THE SHOP",3221.54000000,3200.00000000
"ANDREW BICYCLE & FITNESS",3220.04000000,3220.00000000
"FLEET BIKE SHOP",3219.39000000,3210.00000000
"EDDY'S BIKE SHOP",3219.38000000,3215.00000000
"SPORTS BAG",3217.62000000,3210.00000000
"GARY'S MEGACYCLE",3216.15500000,3210.00000000
"NATCHEZ BICYCLE CENTER",3214.46000000,3210.00000000
"TURIN BICYCLE CO-OP",3212.61000000,3205.00000000
"RAD ROB'S",3212.35000000,3210.00000000
"BIKE COUNTRY",3210.21000000,3205.00000000
"CHRIS KVALE CYCLES",3206.27000000,3200.00000000
"THE PIEDMONT PEDALER",3206.02000000,3200.00000000
"BIKEWORLD INC",3205.88500000,3200.00000000
"SPORT CHALET",3203.59657895,3198.42105263
"FISK'S CYCLERY",3199.19000000,3190.00000000
"MARTY'S BICYCLE SHOP",3198.93000000,3190.00000000
"Y NOT CYCLING & FITNESS",3197.23000000,3190.00000000
"TRANSITION CYCLERY",3197.10000000,3190.00000000
"WHEEL WORLD",3196.63000000,3190.00000000
"BICYCLE SOUTH INC",3196.08000000,3190.00000000
"DONOHUE BICYCLE SERVICE",3194.68000000,3190.00000000
"NOR-DOOR SPORT & CYCLERY",3192.56000000,3190.00000000
"MARK'S BICYCLE SHOP",3192.56000000,3190.00000000
"SPOKES BICYCLE SHOP",3191.71000000,3190.00000000
"FOOTHILLS BIKE ROCK & GIFT SHP",3191.20000000,3190.00000000
"NITTEN USA",3190.60000000,3190.00000000
"OLYMPIC SPORTS",3185.58000000,3180.00000000
"COLORADO CYCLIST",3184.92000000,3180.00000000
"THE BROKEN SPOKE RECYCLERY",3182.94000000,3180.00000000
"BIKE GALLERY CYCLING & FITNESS",3181.38000000,3180.00000000
"BICYCLES OUTBACK",3180.75000000,3175.00000000
"MOUNTAIN BIKE SPECIALISTS",3179.76000000,3170.00000000
"PEDLING FOOL",3176.38000000,3170.00000000
"BELOIT BICYCLES",3176.22000000,3170.00000000
"THE VILLAGE BIKE SHOPPE",3175.27500000,3170.00000000
"JOHN'S KART SHOP",3174.93000000,3150.00000000
"INSIDE-OUT SPORTS",3165.89000000,3160.00000000
"MIKES FREEDOM BICYCLE WRHSE",3165.89000000,3160.00000000
"SPORTS WAREHOUSE",3165.68000000,3160.00000000
"RUDY'S BICYCLE SHOP",3163.96000000,3160.00000000
"KINGSVILLE BICYCLE CLINIC",3163.75000000,3160.00000000
"DISCOUNT PEDDLER",3162.22000000,3160.00000000
"MILLERS CYCLING & FITNESS CTR",3161.62000000,3160.00000000
"LANE'S TRUSTWORTHY",3158.45000000,3150.00000000
"GOING MOBILE BIKE STORE",3158.22000000,3150.00000000
"PHILADELPHIA BICYCLE INC",3156.34000000,3150.00000000
"BIKETECH BICYCLE REPAIR",3155.67000000,3150.00000000
"COMPLETE BUILDING MATERIALS CO",3155.18500000,3152.50000000
"TWIN BICYCLE",3154.73696970,3149.69696970
"BICYCLES & SPORTS INC",3154.68000000,3150.00000000
"SCHELLER'S FITNESS & CYCLING",3152.82600000,3146.00000000
"MIKE'S BIKES OF WALDORF",3151.68000000,3150.00000000
"THE PEDAL SHOP",3151.44500000,3145.00000000
"PERFORMANCE BICYCLE SHOP",3151.31931818,3145.54545455
"HORIZON CYCLES INC",3146.53000000,3145.00000000
"SCHWINN DENNISON CYCLERY",3144.54594595,3139.45945946
"THE S L LEWIS BIKE CO",3140.77000000,3140.00000000
"TWO SEASONS CYCLE & SKI",3135.80000000,3130.00000000
"HOMEWOOD CYCLE AND FITNESS",3133.22000000,3125.00000000
"PEDAL PUSHERS",3132.74000000,3130.00000000
"TOMMY'S BICYCLES & FITNESS",3131.08000000,3130.00000000
BIKEFIT,3125.86000000,3120.00000000
"MARTIN I IMPORTS BICYCLES",3124.18774194,3119.35483871
"SOMOZA'S BIKE SHOP",3123.47114286,3119.14285714
"SPORTSMAN HANGOUT",3121.23333333,3116.66666667
"CENNA'S CYCLES",3120.72000000,3120.00000000
"PRO CYCLES",3113.44666667,3110.00000000
"HELEN'S CYCLES",3113.25757576,3108.78787879
"DAVE'S BIKE SHOP",3107.74666667,3100.00000000
"CITY CYCLE",3106.47500000,3100.00000000
"FORT WORTH CYCLING & FITNS CTR",3103.44750000,3100.00000000
"FLORENCE CYCLE SHOP",3102.68363636,3098.18181818
"MILES BICYCLE SHOP",3101.58000000,3100.00000000
"BILL'S BIKE SHOP",3100.70750000,3095.00000000
"PLANETARY GEAR",3100.33000000,3100.00000000
"DENO'S CYCLERY",3097.29000000,3090.00000000
"RAINBOW BICYCLE CO",3095.93000000,3090.00000000
"BLACKSMITH BICYCLE WHEELS",3094.41000000,3090.00000000
"ARLENE GREWELL",3093.84500000,3090.00000000
"MILLBURN BICYCLE SHOP INC",3092.84000000,3090.00000000
"GARDENA BIKE SHOP",3091.48000000,3090.00000000
"CYCLE WORKS",3091.15000000,3086.66666667
"BIKE AGE",3089.82000000,3085.00000000
"KOZY'S CYCLERY AND FITNESS",3088.42625000,3083.12500000
"MOUNTAIN CYCOLOGY",3088.13000000,3080.00000000
"TENTH GEAR BICYCLE SHOP",3087.38000000,3075.00000000
"SECOND HAND SPORT",3085.59000000,3077.50000000
"BEACH RENTALS",3085.57000000,3080.00000000
"CYCLES & THINGS",3085.57000000,3080.00000000
"MATSON'S SCHWINN CYCLERY",3081.12000000,3080.00000000
"BICYCLE PEDALER",3074.72000000,3070.00000000
"NOW SPORTS INC",3074.60000000,3055.00000000
"JIMMIE'S BIKE & REPAIR SHOP",3074.25500000,3070.00000000
"THE BICYCLE WORKS",3073.82000000,3065.00000000
"RUDY RACK",3071.61000000,3065.00000000
"MATTHEWS BICYCLE MART INC",3064.97000000,3060.00000000
Walk-In,3064.04179145,3059.00521990
PEDDLERS,3063.74333333,3060.00000000
"B & G CYCLERY",3060.47000000,3060.00000000
"JERRY'S BICYCLE SHOP",3059.43000000,3050.00000000
"TORQUE CENTER USA",3058.65500000,3055.00000000
"CALUMET CY SCHWINN CYCLERY INC",3057.73500000,3055.00000000
"BEST BICYCLES",3055.80000000,3050.00000000
"GILLES CYCLING & FITNESS",3055.34000000,3050.00000000
"PARADISE VALLEY BICYCLE",3054.08000000,3050.00000000
"SALHINGER'S BIKE SHOP",3053.33000000,3050.00000000
"D & S BICYCLE SHOP",3049.94000000,3040.00000000
"BYERLY TIRE & APPLIANCE",3049.50000000,3040.00000000
"KOPP'S CYCLE",3046.33000000,3040.00000000
"ROCK & ROAD BICYCLES",3046.28500000,3040.00000000
"JIM'S BICYCLE SHOP",3044.93000000,3040.00000000
"PALMDALE BIKE SHOP",3042.52000000,3035.00000000
"BICYCLE STATION",3039.88666667,3036.66666667
"VILLAGE CYCLERY",3038.84000000,3030.00000000
"TRI-ANGLE BIKE'S",3038.34000000,3030.00000000
"EASTERN PULSE",3037.80000000,3030.00000000
"THE BIKE BARN",3037.75000000,3030.00000000
