storename,colorname,sumsaleprice
"BILL FREUND OLYMPIC SCHWINN","Candy Stripe",2220.0000
"COFFEY'S BICYCLE SALES","Candy Stripe",2220.0000
"VILLAGE BICYCLE SHOP","Candy Stripe",2220.0000
"HIGHLAND CYCLE INC","Candy Stripe",2230.0000
"CYCLE CENTER","Candy Stripe",2250.0000
"BIKESPORT INC","Candy Stripe",2250.0000
"ROCKY TOP TRAIL SHOP","Candy Stripe",2270.0000
"R & R BICYCLE FITNESS STORE AZ","Candy Stripe",2280.0000
"MEMPHIS BICYCLE CO","Candy Stripe",2290.0000
"MIDDLETON CYCLE AND FITNESS","Candy Stripe",2290.0000
"ADVENTURE CYCLES INC","Candy Stripe",2300.0000
"INTOWN BICYCLES","Candy Stripe",2300.0000
HYDRO-BIKES,"Candy Stripe",2330.0000
"THE BICYCLE SHOP","Candy Stripe",2340.0000
"DANVILLE BIKE & FITNESS","Candy Stripe",2340.0000
"ROBERT F SNOW & SON","Candy Stripe",2350.0000
"PACK RAT OUTDOOR CENTER","Candy Stripe",2350.0000
"BIKE SHOP","Candy Stripe",2360.0000
"PEOPLES SPORTING GOODS","Candy Stripe",2360.0000
"ISLAND PARK CYCLES","Candy Stripe",2360.0000
"MILTON CYCLERY","Candy Stripe",2370.0000
"NORDA'S MOUNTAIN OUTFITTERS","Candy Stripe",2370.0000
"BICYCLE WORLD","Candy Stripe",2370.0000
"AAAA BIKE SHOP","Candy Stripe",2370.0000
"FENSONS GRT OUTDOORS BIKE","Candy Stripe",2370.0000
"VAN CAMP'S BICYCLE SHOP","Candy Stripe",2380.0000
"BIKES BY THE BAY","Candy Stripe",2380.0000
PRO-BIKE,"Candy Stripe",2380.0000
"DREXEL HILL CYCLERY","Candy Stripe",2390.0000
"KRAYNICK'S BIKE SHOP","Candy Stripe",2400.0000
"BIKES ETC","Candy Stripe",2410.0000
"BIKE WORKS","Candy Stripe",2410.0000
"BIKE BROKER INC","Candy Stripe",2460.0000
"SMITH'S BIKERY","Candy Stripe",2580.0000
"WRIGHT BROS CYCLERY & FITNS","Candy Stripe",2600.0000
"OPEN AIR BICYCLES","Candy Stripe",2650.0000
"THE PATHFINDER","Candy Stripe",2650.0000
"BIKES AMERICA","Candy Stripe",2650.0000
"PEDERSEN'S SKI & SPORTS ","Candy Stripe",2660.0000
"BREAKAWAY CYCLERY","Candy Stripe",2660.0000
"LIGHTNING CYCLES","Candy Stripe",2700.0000
"BICYCLE STATION","Candy Stripe",2740.0000
"ED'S BICYCLE SHOP","Candy Stripe",2780.0000
"FLYTHE CYCLERY","Candy Stripe",2830.0000
"BIKE CENTER OF SHEM CREEK","Candy Stripe",2860.0000
"OWENSBORO SCHWINN CYCLERY","Candy Stripe",2980.0000
"TURIN BICYCLE EVANSTON LTD","Candy Stripe",2980.0000
"OZARK BIKE SHOP","Candy Stripe",2990.0000
"TRIMSPORT CYCLE","Candy Stripe",3000.0000
"SADIUM BIKE & SKATE","Candy Stripe",3000.0000
"MARTIN I IMPORTS BICYCLES","Candy Stripe",3110.0000
"MIKE'S BIKES OF WALDORF","Candy Stripe",3150.0000
"PEDLING FOOL","Candy Stripe",3170.0000
BIKESPORT,"Candy Stripe",3200.0000
"RAINBOW CYCLE SPORT INC","Candy Stripe",3220.0000
"BIGHORN BIKE SHOP","Candy Stripe",3270.0000
"LAWVER'S BICYCLE SHOP","Candy Stripe",3330.0000
"EASTSIDE BIKE","Candy Stripe",3350.0000
"THORNES BEDFORD BICYCLE CENTER","Candy Stripe",3370.0000
"CAPITOL BICYCLES","Candy Stripe",3380.0000
"NOW SPORTS INC","Candy Stripe",3410.0000
"BANGTAIL BIKES","Candy Stripe",3420.0000
"BIKE WORKS CYCLING & FITNESS","Candy Stripe",3430.0000
"XXX SPORTS","Candy Stripe",3440.0000
"MURFREESBORO BICYCLE COMPANY","Candy Stripe",3450.0000
"VAIL BICYCLE SERVICES-VBS","Candy Stripe",3460.0000
"RIVERSIDE BIKE & SKATE","Candy Stripe",3470.0000
"RRB CYCLES LTD","Candy Stripe",3470.0000
GIBSON'S,"Candy Stripe",3480.0000
"BIKES PLUS","Candy Stripe",3510.0000
"HOUSE OF BIKES","Candy Stripe",3580.0000
"BOHEMIAN BICYCLES","Candy Stripe",3590.0000
"JAYHAWK PAWN & JEWELRY","Candy Stripe",3620.0000
"BIKER'S CHOICE","Candy Stripe",3650.0000
"ROBINSON'S BICYCLE SHOP","Candy Stripe",3900.0000
"DOWNRIVER CYCLE CENTER","Candy Stripe",3920.0000
"BIKE SHOP THE","Candy Stripe",3950.0000
"BIKES N BARGAINS","Candy Stripe",4000.0000
"GNO CYCLERY","Candy Stripe",4050.0000
"KESSLER'S BICYCLE CENTER","Candy Stripe",4180.0000
"BRANCH BROOK CO","Candy Stripe",4180.0000
"MORGAN'S CYCLE & FITNESS","Candy Stripe",4340.0000
"SPORT CHALET","Candy Stripe",4380.0000
"OXFORD BICYCLE COMPANY","Candy Stripe",4730.0000
"EADS SUPPLY & CYCLE SALES","Candy Stripe",4900.0000
"BIKE TECH","Candy Stripe",5490.0000
"IMMEL BICYCLE CENTER","Candy Stripe",5630.0000
"BIKES AND MOORE","Candy Stripe",5645.0000
"MONTGOMERY CYCLERY INC","Candy Stripe",5770.0000
"DAKOTA CYCLERY","Candy Stripe",5970.0000
"BONZAI SPORTS CENTER","Candy Stripe",6030.0000
"BLUEGRASS CYCLE","Candy Stripe",6390.0000
"BIKEWORLD INC","Candy Stripe",6400.0000
"KID COUNTRY","Candy Stripe",6950.0000
"PRECISION BICYCLE","Candy Stripe",8480.0000
"NELTNER'S TIRE CENTER","Candy Stripe",8750.0000
"BTR CYCLE & HOBBIES","Candy Stripe",9340.0000
"Direct Sales","Candy Stripe",166370.0000
Walk-In,"Candy Stripe",572650.0000
