storename,Count,SUM(p.saleprice)
"LAWVER'S BICYCLE SHOP",5,13290.0000
"ARTHUR'S BIKE SHOP",5,11160.0000
"BICYCLE SPORT INC",5,13195.0000
"ASSENMACHER'S CYCLING CENTER G",5,14490.0000
"KESSLER'S BICYCLE CENTER",5,17160.0000
"DAKOTA CYCLERY",5,13600.0000
"SPEED CYCLE",5,12460.0000
"PEOPLES SPORTING GOODS",5,12075.0000
"NORTH STAR CYCLERY",5,10640.0000
"DANVILLE BIKE & FITNESS",5,12090.0000
PRO-BIKE,5,11800.0000
"BICYCLE PRO SHOP",5,11495.0000
"SCHELLER'S FITNESS & CYCLING",5,15730.0000
"METROPOLIS BICYCLES",5,12660.0000
"HAWLEY'S BICYCLE WORLD",5,13327.0100
"M G M BICYCLE & FITNESS EQUIP",5,11090.0000
"AUSTINTOWN GLENWOOD CYCLE INC",5,11590.0000
"ASHLAND BICYCLE CENTER",5,14690.0000
"BICYCLE WAREHOUSE CO",5,12650.0000
"MURFREESBORO BICYCLE COMPANY",5,13120.0000
"COFFEY'S BICYCLE SALES",4,8190.0000
"DIXIE SCHWINN CYCLERY",4,11593.6600
"HARRISON'S BICYCLE SHOP",4,11690.0000
"WAYNE CYCLERY",4,11730.0000
"LAKE SHORE SCHWINN CYCLERY",4,11740.0000
"THE BIKE PEDDLER",4,11580.0000
"RICHARDS CYCLE COMPANY",4,14370.0000
"PEDAL POWER BIKE SHOP",4,9820.0000
"OXFORD BICYCLE COMPANY",4,9030.0000
"E'TOWN SCHWINN CYCLERY",4,10540.0000
"KATY BIKE RENTAL INC",4,12010.0000
"DANDOS BICYCLE CENTER",4,9225.0000
"BIKE BROKER INC",4,11390.0000
"BILL FREUND OLYMPIC SCHWINN",4,9040.0000
"FORT WORTH CYCLING & FITNS CTR",4,12400.0000
"BICYCLE WORLD",4,8490.0000
HYDRO-BIKES,4,10431.2100
"BIKE DOCTOR",4,11550.0000
"JAYHAWK PAWN & JEWELRY",4,11640.0000
"JACK'S BICYCLE SHOP",4,8750.0000
"MIKE'S BIKE SHOP",4,8980.0000
"MERCED BIKE",4,9920.0000
"BILL'S BIKE SHOP",4,12380.0000
"KENTUCKIANA BICYCLE STORE",4,10785.0000
"VILLAGE BIKES INC",4,10090.0000
"BIKES BLADES & BOARDS",4,8992.3800
"GATTO CYCLE SHOP",4,9290.0000
"OZARK BIKE SHOP",4,9760.0000
"TURIN BICYCLE EVANSTON LTD",4,9715.0000
"BADEN BIKE CENTER",4,10110.0000
"BIKE SHOP",4,9020.0000
"BIKE WORKS CYCLING & FITNESS",4,9110.0000
"BAY AREA SCHWINN CYCLING",4,10430.0000
"WHEELS IN MOTION",4,9630.0000
"DAVID'S CYCLES",4,11440.0000
"GRAND CYCLE",4,15320.0000
"AL'S BICYCLES",4,10230.0000
"VAN CAMP'S BICYCLE SHOP",4,10960.0000
"WEST END BICYCLES",4,11350.0000
"BIKER'S CHOICE",4,9445.0000
"COMPLETE BUILDING MATERIALS CO",4,12610.0000
"BICYCLE SHOWCASE",4,9550.0000
"BIKE BARN",4,11060.0000
"CYCLE WORLD",4,10980.0000
"THE BICYCLE EXCHANGE",4,13110.0000
"DALTON BICYCLE WORKS",3,8980.0000
"GARNER'S PRO BICYCLE SHOP",3,7420.0000
"CYCLE WORKS",3,9260.0000
"WEST U SCHWINN",3,13540.0000
"EASTSIDE BIKE",3,7470.0000
"BICYCLE CENTER",3,7910.0000
"BICYCLE STATION",3,9110.0000
"TRIMSPORT CYCLE",3,8520.0000
"BONZAI SPORTS CENTER",3,8730.0000
"SAM & RICK BICYCLES",3,7800.0000
"BICYCLE SPORT",3,8720.0000
"HERWIG'S BICYCLE STORE",3,7410.0000
"BOB'S BICYCLE SHOP",3,8570.0000
"BAYNESVILLE BICYCLE SERVICE",3,9970.0000
"REST STOP BICYCLE ACCESSORIES",3,6620.0000
"BIKE STOP",3,8680.0000
"AWESOME CYCLES",3,7870.0000
"MESA CYCLES",3,6910.0000
"BAY SPORTS",3,7940.0000
"PALO ALTO BICYCLES",3,5660.0000
"NORTH RIVER CYCLE",3,7101.5400
"RASCHE CYCLE CO",3,6930.0000
"WHEELCRAFT LTD RTE",3,5420.0000
"ALS QCK RELEASE BIKE RPR",3,6080.0000
"BIKES ETC",3,7590.0000
"LOVELAND'S CYCLE",3,8890.0000
"ISLAND PARK CYCLES",3,5821.2200
"SADIUM BIKE & SKATE",3,7000.0000
"SCORPION BICYCLE",3,7440.0000
"JOE'S BIKE SHOP",3,8790.0000
"RECYCLED CYCLES",3,7930.0000
"CLASSIC BICYCLES INC",3,8390.0000
"RIDE ON SPORTS",3,7090.0000
"DON'S BIKES OF RIALTO",3,6790.0000
"THRILLS ON WHEELS",3,6410.0000
"ADDISON CYCLE CNTR LTD",3,9720.0000
"THE CYCLERY",3,4420.0000
"VIA BICYCLE",3,8790.0000
"REG BAUER'S BIKE SHOP",3,8870.0000
"SCHWINN SHIRARS BIKE & FITNS",3,8165.0000
"RECYCLED SPORTS INC",3,5660.0000
"BEACH FRONT CYCLERY",3,6280.0000
"CLAIRE EAU CYCLE",3,7515.0000
"SPORTSMAN HANGOUT",3,9350.0000
"RIVERSIDE BIKE & SKATE",3,7700.0000
"ALLANTI CYCLING COMPANY",3,6492.8300
"DON'S BIKE REPAIR",3,8380.0000
"SOUTHWEST BIKE SHOP",3,6160.0000
"CONTES BICYCLE & FITNESS EQUIP",3,7990.0000
"THE BIKE STAND",3,6710.0000
"MARK'S CYCLE CORNER",3,7810.0000
"VILLAGE BICYCLE SHOPPE",3,8760.0000
"GARROW DESIGN STUDIO",3,6900.0000
"BICYCLE JOE'S",3,6700.0000
"WORLD CYCLE",3,9920.0000
"OK BIKE SHOP",3,8180.0000
"OUTDOOR ADVENTURES",3,4615.0000
"BIG WHEEL BIKES",3,6500.0000
"HANNA'S BIKE SHOP",3,8760.0000
"BICYCLE THERAPY",3,7400.0000
"BIKES PLUS",3,7660.0000
"DOUBLE WHEEL STORES",3,7830.0000
"SOUTHLAND BICYCLE SHOP",3,7620.0000
"PRO CYCLES",3,9330.0000
"MONTGOMERY HOBBY & CYCLE",3,7720.0000
"BICYCLE CLINIC",3,7130.0000
"HIGH'S CYCLE CENTER",3,7420.0000
"WHEEL & SPROCKET INC",3,8610.0000
"SPOKE N WHEEL",3,10380.0000
"BIKE ADDICTS",3,8770.0000
"CAMARILLO BIKE COMPANY",3,10190.0000
BIKESPORT,3,10130.0000
"DAVE'S BIKE SHOP",3,9300.0000
PEDDLERS,3,9180.0000
"LAACKE & JOYS CO",3,7690.0000
"LIGHTNING CYCLES",3,8675.0000
"R & R BICYCLE",3,10150.0000
"GLENDALE CYCLERY",3,9820.0000
"MIDWEST CYCLERY",3,8740.0000
"SHIRAR'S BICYCLE STORE-SOUTH",3,13530.0000
"OUR BOYS & GIRLS BICYCLE YARD",3,10290.0000
"IMPERIAL STORES",3,8690.0000
"SIERRA BICYCLE WORKS",3,11280.0000
"SKEDADDLE BICYCLES",2,4850.0000
"SMYRNA BIKES",2,4030.0000
"BILLY'S BOAT & BIKE CORRAL",2,4930.0000
"NOW SPORTS INC",2,6110.0000
"DAWSON BROTHERS CYCLE CO",2,4860.0000
"CAPITOL SCHWINN CYCLERY",2,4670.0000
"ROSEWOOD CYCLING & FITNESS",2,5715.0000
"TWIN CITY BIKE & SPORT",2,4300.0000
"EUROPEAN CYCLES",2,7770.0000
"MIDDLETON CYCLE AND FITNESS",2,5560.0000
"HUTCH'S BICYCLE STORE",2,5260.0000
"NUTLEY BIKE SHOP",2,6910.0000
"GNO CYCLERY",2,5650.0000
"BICYCLE THE SHOP",2,6400.0000
"PALMDALE BIKE SHOP",2,6070.0000
"FRIDLEY HTS SCHWINN CYCLERY",2,5790.0000
"XXX SPORTS",2,7440.0000
"BANGTAIL BIKES",2,6570.0000
"BICYCLE HUT",2,7500.0000
"GLACIER CYCLERY",2,7500.0000
"CROSS COUNTRY SPORTS",2,6800.0000
"ROD'S BIKE SHOP",2,7890.0000
"WASHTENAW CYCLE & FITNESS",2,5310.0000
"CAPITOL BICYCLE CENTER INC",2,8280.0000
"ONTARIO BICYCLE",2,5510.0000
"CROMER'S ACE SUPER BIKE WORLD ALEDO",2,5530.0000
"RAINBOW BICYCLE CO",2,6180.0000
"CONTINENTAL CYCLERY",2,5820.0000
"SHIPLEY'S BICYCLE SHOP",2,5260.0000
"THE BICYCLE BUS ",2,4890.0000
"BRET'S BIKE AND BEACH SHOP",2,4360.0000
"HOLLAND'S BICYCLES",2,4220.0000
"BOB'S CYCLE CENTER",2,7270.0000
"ANTHONY'S BIKE & KEY SHOP",2,5700.0000
"CHICO'S BICYCLE SHOP",2,4860.0000
"GATOR CYCLE",2,4790.0000
"THE SKI MOGUL INC",2,4486.8800
"TEMPLE CITY BIKE SHOP",2,7050.0000
"PROFESSIONAL BIKE SERVICE",2,4150.0000
"ANDY'S CYCLE CENTER",2,4850.0000
"RAMSEY BICYCLE & SKI SHOP",2,6700.0000
"ROYAL BIKE SHOP",2,3725.0000
"CYCLE SPORTS & FITNESS",2,5130.0000
"BIKE AMBULANCE",2,4880.0000
"BRAESWOOD BIKE-N-HIKE",2,5270.0000
"MAIN STREET CYCLES",2,5840.0000
"BROADWAY BICYCLE INC",2,6580.0000
"RIDE-N STRIDE",2,5350.0000
"BIKE LINE INC",2,9300.0000
"KING'S BIKES & THINGS",2,9730.0000
"LE TOUR CYCLERY INCORPORATED",2,5670.0000
"CARL'S GAS SERVICE",2,5197.6900
"BUSTLETON BIKES",2,4860.0000
"DENBIGH HDK CYCLERY",2,4300.0000
"CAMPUS CYCLE WORKS INC",2,4360.0000
"BIKE PEDLAR",2,4510.0000
"CITY DIFFERENT BICYCLES",2,4740.0000
"ALL TERRAIN SPORTS",2,4780.0000
"GRAND WEST OUTFITTERS",2,5330.0000
"THE GOLDEN RING BICYCLE SHOP",2,5660.0000
"MOUNTAINLAND RV PARTS CTR INC",2,6470.0000
"NICOLLET SOUTH BIKE SHOP",2,4225.0000
"BICYCLE PARADISE INC",2,8720.0000
"NORDIK BIKE-SKI & PATIO",2,5210.0000
"THE GERMANTOWN BICYCLE SHOP",2,5830.0000
"TRANSITION CYCLERY",2,6380.0000
"ISLAND BIKE & SURF SHOP",2,5650.0000
"DENNY'S CYCLING & FITNESS",2,4150.0000
"PED'LIN AROUND",2,5360.0000
"HOMEWOOD CYCLE AND FITNESS",2,6250.0000
"ARIRANG BICYCLE",2,3585.0000
"THE TOURING CYCLIST",2,6520.0000
"R & D ENTERPRISES",2,3545.0000
"J B CYCLE & SPORT",2,5170.0000
"SCHEELS ALL SPORTS",2,4620.0000
"SCHEELS SPORTS",2,4620.0000
"AAAA BIKE SHOP",2,3745.0000
"BIKEWORLD INC",2,6400.0000
"COMPETITIVE EDGE",2,3530.0000
"SPRING ST SPORTS INC",2,5980.0000
"VILLAGE BICYCLE SHOP",2,4390.0000
"BUD'S SPORT & REPAIR",2,4710.0000
"BECKWITH BICYCLES",2,5280.0000
"O'NEAL'S CYCLERY",2,4940.0000
"ENCINA BICYCLE CENTER",2,4750.0000
"HARBOR BICYCLES",2,6870.0000
"BIKE DOC",2,4020.0000
"KEN'S BIKE SHOP",2,4850.0000
"BIKES & BEYOND",2,3820.0000
"COUNTRY DOCTOR BIKE SHOP",2,4290.0000
"KETTERING BIKE SHOP",2,3260.0000
"BELOIT SPORT CENTER",2,3500.0000
"EZ PAWN",2,5080.0000
"BICYCLE WORLD INC",2,3360.0000
"GRANDVIEW CYCLE SHOP",2,7200.0000
"GARFIELD BIKE SHOP",2,3690.0000
"CAMBRIA BICYCLE OUTFITTER",2,3430.0000
"MR BICYCLE",2,5540.0000
"PAQUETTE'S CYCLE & SKI",2,5720.0000
"CANNODALE & TREK BICYCLES MBL",2,4130.0000
"WEST SIDE RECREATION",2,2947.6600
"ADVENTURE CYCLES",2,3600.0000
"VILLAGE CYCLERY",2,6060.0000
"TOWN & COUNTRY CYCLE SALES",2,7480.0000
"LAKEWOOD CYCIERY",2,6920.0000
"HONKER HANGAR BIKE SHOP",2,4033.3300
"JONES BICYCLES",2,3735.2200
"BICYCLE POST INC",2,5250.0000
"RODRIGUEZ CYCLE",2,3920.0000
"IMMEL BICYCLE CENTER",2,5630.0000
"OUTDOORS INC",2,3975.0000
"RADICAL RIDERS BMX",2,5160.0000
"NEMEC'S SERVICE",2,4125.0000
"POP BIKE",2,3718.2600
"SPOKE AND PEDAL",2,5390.0000
"ANYBODY'S BIKESHOP",2,3360.0000
"MARTINS SCHWINN CYCLING",2,5005.0000
"SCHOLL'S BICYCLE CENTER",2,5090.0000
"CYCLE WORKS INC",2,4638.9500
"PITTSBURGH PRO BICYCLES INC",2,5720.0000
"ROSWELL SCHWINN CYCLERY",2,5930.0000
"THE PATHFINDER",2,4890.0000
"KID COUNTRY",2,6950.0000
"SMITH'S BIKERY",2,4530.0000
"THE BIKE SHOP INC",2,7200.0000
"THE ORDINARY BIKE REPAIR SHOP",2,4530.0000
"BASE CAMP INC",2,5714.2000
"BICYCLE SHOP",2,5650.0000
"ED'S CYCLES",2,4190.0000
"SOUTH LYON CYCLE & SPORTS",2,4930.0000
"BICYCLES OUTBACK",2,6350.0000
"THE WHITE WOLF",2,4030.0000
BIKEFIT,2,6240.0000
"BIKE RACK INC",2,5090.0000
"BAKER BICYCLE CO",2,4650.0000
"BOBBY'S BICYCLE SHOP",2,4800.0000
"A & E BICYCLE PIT",2,4200.0000
"MIKES BIKES & SM ENG RPR INC",2,5850.0000
"DALE CITY BICYCLES",2,4320.0000
"CUSTOM CYCLE",2,4940.0000
"WESTGATE CYCLE INC",2,3490.0000
"PIONEER BIKE SHOP",2,4400.0000
"CYCLERY OF RANCHO BERNARDO",2,4010.0000
"CALIFORNIA BICYCLE INC",2,5900.0000
"B P CYCLES",2,3470.0000
"EDDIE'S BIKE SHOP",2,3720.0000
"FRANKLINSTEIN BIKE WORX",2,3860.0000
"VILLAGE CYCLE SHOP",2,4260.0000
"BEVERLY CYCLERY",2,5320.0000
"VALLEY CYCLERY",2,4770.0000
"WALKER & SON BICYCLES",2,6040.0000
"JAX BICYCLE CENTER",2,4390.0000
"PEDAL REVOLUTION",2,3800.0000
"BIKE SHOP THE ORIGINAL",2,4770.0000
"ARLENE GREWELL",2,6180.0000
"PW ATHLETIC CO",2,4130.0000
"BICYCLE AUTHORITY",2,5850.0000
"ESCAPE HATCH SPORT & CYCL SHP",2,4230.0000
"EDDY'S BIKE SHOP",2,6430.0000
"COVINA VALLEY SCHWINN",2,4460.0000
"CYCLING TUNES",2,4880.0000
"RED RIVER CYCLERY",2,4180.0000
"BIKES UNLIMITED",2,4440.0000
"BIKE MART RICHARDSON",2,3910.0000
"THE PEDAL SHOP",2,6290.0000
"MENDOTA CYCLING & FITNESS",2,4240.0000
"MILL RACE CYCLERY",2,5270.0000
"TURIN BICYCLE CO-OP",2,6410.0000
"SAN DIEGO CYCLERY",2,3350.0000
"HARBOR BIKE & SKI",2,5550.0000
"THE STEADY PEDALER",2,4270.0000
"PETE'S CYCLE CO INC",2,5320.0000
"ALL WEATHER SPORTS",2,3660.0000
"HOWARD'S CYCLING & FITNESS",2,4680.0000
"THE BICYCLE SHOP NORTHPORT",2,4790.0000
"SOUTH COUNTY CYCLERY INC",2,4660.0000
"ACTION BIKE SHOP",2,5370.0000
"BEVERLY FENCE CO",2,5650.0000
"PEDERSEN'S SKI & SPORTS",2,4083.7200
"MOUNTAIN STATE BICYCLES INC",2,4165.0000
"JERRY'S BICYCLES & FITNESS",2,5080.0000
"GREAT DIVIDE CYCLERY",2,3025.0000
"CYCLE SPORTS",2,2900.0000
"BICYCLES UNLIMITED",2,3155.0000
"WHEELER'S CYCLE & FITNESS",2,3045.0000
"HANDLEBAR BICYCLE SHOP",2,5320.0000
"BELLAIRE BICYCLE SHOP",2,4876.4400
"BICYCLE VILLAGE",2,4050.0000
"HIGHROLLER CYCLERY INC",2,4250.0000
"THE BICYCLE SHACK",2,5020.0000
"GARDENSWARTZ SPORTZ",2,4210.0000
"BEN'S CYCLE AND FITNESS CENTER",2,3550.0000
"ECONOMY BICYCLE SHOP",2,3800.0000
"HOUSE OF BIKES",2,3580.0000
"BICYCLE SERVICE INC",2,4850.0000
"KEVIN'S BICYCLES",2,4030.0000
"VALLEY CYCLING & FITNESS",2,4350.0000
"GORDON CYCLE & SUPPLY INC",2,4340.0000
"DELUXE BICYCLES",2,6030.0000
"WHEEL POWER SPORTS",2,4270.0000
"JERRY & SPARKYS BIKE SHP INC",2,5210.0000
"TJ'S FUDGE CYCLE",2,5110.0000
"NORTH KENT SCHWINN",2,5000.0000
"ANDY JORDAN'S BICYCLE CENTER",2,4030.0000
"B & D BICYCLES",2,4850.0000
"DOWNRIVER CYCLE CENTER",2,5500.0000
"CAPE BICYCLE CYCLING AND FITNS",2,4030.0000
"NORTHWESTERN LOAN PAWNBROKERS",2,4830.0000
"ROTRAX CYCLES",2,5150.0000
"EL PASO BIKE CENTER",2,5230.0000
"JESSE'S BICYCLE SHOP",2,4580.0000
"BIKE CONNECTION",2,5020.0000
"HI-TECH CYCLES",2,4550.0000
"THE BICYCLE WORKS",2,6130.0000
"KNAUSS & SON",2,4860.0000
"BROOKE 'N' BRI'S INC",2,5480.0000
"RUDY RACK",2,6130.0000
"CASTRO VALLEY CYCLERY",2,5760.0000
"CROSSROADS CYCLING & FITNESS",2,6720.0000
"DAN'S BIKE SHOP",2,4320.0000
"ROCK & ROAD BICYCLES",2,6080.0000
"JEFF'S BIKE SHOP",2,4670.0000
"CALUMET CY SCHWINN CYCLERY INC",2,6110.0000
"BELLFLOWER BIKE SHOP",2,5920.0000
"MIDDLETOWN CYCLE CENTER",2,6600.0000
"MEMORIAL CYCLING",2,4775.0000
"PORT CHARLOTTE CYCLERY",2,4490.0000
"GIANT BICYCLE INC",2,4550.0000
"GILLES CYCLING & FITNESS",2,6100.0000
SCHWINN,2,5480.0000
"BMX RACING ZONE",2,5350.0000
"THE BIKE CENTER",2,7350.0000
"HORIZON CYCLES INC",2,6290.0000
"ECKHARTS TRLR HITCH & WELD INC",2,4380.0000
"THE VILLAGE BIKE SHOPPE",2,6340.0000
BIKELAND,2,5290.0000
"THE RIGHT GEAR",2,5580.0000
"THE BIKE PEDALER",2,4610.0000
"JUST NORTH OF DAYTONA",2,5850.0000
"LABAUVE BICYCLE STORE",2,7350.0000
"THE BICYCLE BUSINESS",2,7260.0000
"MOUNTAIN BIKE INNOVATIONS",2,5070.0000
"G N GONZALES INC",2,5630.0000
"DON'S BIKE SHOP",2,7380.0000
"BICYCLE BILL'S",2,6540.0000
"CHEVY CHASE BICYCLE SERVICE",2,6950.0000
"GARY'S CYCLE SHOP",2,6030.0000
"LAKESHORE BIKE & KITE",2,4000.0000
"BERNARDO RANCHO BICYCLE CENTER",2,4345.0000
"NASHVILLE BICYCLE COMPANY",2,5320.0000
"QUICK STOP BIKE SHOP",2,4775.0000
"CROSS COUNTRY CYCLING CENTER",2,4275.0000
"YELLOW JERSEY",2,5250.0000
"EVANSTON SCHWINN CYCLERY",2,6580.0000
"BOARDMAN CYCLE CENTER",2,4770.0000
"SPOKE N TRAIL INC",2,5550.0000
"BIKE RACK HUMPALS",2,6010.0000
"BICYCLE EXPRESS",2,4710.0000
"RIVERDALE CYCLE",2,4880.0000
"BICYCLE WORLD TOO INC",2,5400.0000
"OSCAR WASTYN CYCLES",2,4950.0000
"VILLAGE BICYCLE CENTER",2,5380.0000
"THE BIKE STOP",2,5400.0000
"MOORE'S BICYCLE SHOP",2,4925.0000
"UNION CYCLE CENTER",2,6450.0000
"TRY ME BICYCLE SHOP",2,5150.0000
"KEY LARGO BIKE'S",2,5180.0000
"MADDEN FACTORY STORE",2,6895.0000
"SECOND HAND SPORT",2,6155.0000
"ISLAND TRIATHLON & BIKE",2,5820.0000
"CHELSEA BIKE & SPORTS",2,6630.0000
"CENTENNIAL CYCLE INC",2,7700.0000
"A & M CYCLE & SUPPLY CO",2,5840.0000
"CUMBERLAND TRANSIT BICYCLES",2,6020.0000
"PEDAL PUSHERS",2,6260.0000
"WESTPORT BICYCLES",2,5800.0000
"BRITTON'S BICYCLE SHOP",2,7550.0000
"RG'S BICYCLE SHOP",2,7050.0000
"ON TWO WHEELS",2,8130.0000
"JIMMIE'S BIKE & REPAIR SHOP",2,6140.0000
"C A MUELLER",2,7830.0000
"B C S BICYCLES",2,7160.0000
"BIKE BUSINESS",2,7690.0000
"PROTEUS BIKE & FITNESS",2,7960.0000
"AMPRO CYCLES INTERNATIONAL",2,5870.0000
"DYNAMIC BIKES",2,5650.0000
"FOWLER KARL'S BIKE SHOP",2,7040.0000
"ROYAL CYCLERY",2,8230.0000
"TODD'S SCHWINN BICYCLES",2,5500.0000
"BIKE AGE",2,6170.0000
"DEKALB SCHWINN CYCLERY",2,5170.0000
"HANDLEBAR HARRY'S BIKE SHOP",2,5110.0000
"THE BIKE STATION",2,6800.0000
"BICYCLE DOCTOR/EDGEWORKS",2,5940.0000
"WHEELING CYCLE & MARINE",2,6540.0000
"BICYCLE DEPOT",2,6450.0000
"ZIMMERMAN'S BIKE SHOP",2,4940.0000
"MIKE'S CYCLE CITY",2,5040.0000
"LINCOLN CYCLE CENTER",2,7140.0000
FAD-TASTIC,2,5230.0000
"THE SCHERTZ BICYCLE SHOP",2,4490.0000
"BIKE COUNTRY",2,6410.0000
"KOHLMANN'S BIKE SHOP",2,5290.0000
FUNSPORTS,2,6590.0000
"BIKESOURCE OF PITTSBURGH",2,5270.0000
"CITY CYCLE",2,6200.0000
"CYCLE TECH",2,5520.0000
"PAPILLON CYCLES",2,6520.0000
"MOUNT WASHINGTON BIKE SHOP",2,6050.0000
"IRV'S BIKE SHOP INC",2,7100.0000
SPORTSTOWN,2,7330.0000
"TORQUE CENTER USA",2,6110.0000
"THE GREAT ESCAPE",2,5630.0000
"BIKE RITE",2,5050.0000
"ALL STAR BIKE SHOPS INC",2,7800.0000
"PENN CYCLE",2,7190.0000
"NEWINGTON BICYCLE & REPAIR SHOP",2,7240.0000
"CHAMPION MEGACYCLES",2,6900.0000
"WILD WILD WHEELS",2,8880.0000
"ART'S CYCLE & HOBBY SHOP",2,5160.0000
"LEBO'S PEDAL PARLOR",2,8480.0000
"WESTSIDE CYCLERY",2,7520.0000
"MOTTOLA BICYCLE",2,5880.0000
"K & A CYCLERY",2,7000.0000
"INTERNATIONAL BIKE SHOP",2,6800.0000
"FREEWHEELS BICYCLE SHOP",2,7880.0000
"GARY'S MEGACYCLE",2,6420.0000
"DOWN TOWN DISCOUNTS",2,7210.0000
"ARMY & NAVY ECONOMY STORE",1,2375.0000
"JIM'S STORE",1,2450.0000
EVERYBODY'S,1,2750.0000
"BUZZ'S BIKES",1,2425.0000
"MODERN BIKE",1,2450.0000
"BLOOMFIELD BIKE INC",1,2475.0000
"LIVERNOIS BIKE SHOP",1,2900.0000
"OWENSBORO SCHWINN CYCLERY",1,2980.0000
"GARDEN VALLEY SCHWINN CYCLERY",1,3990.0000
"BIKE SHOP THE",1,3950.0000
"BEAVER SPORTS",1,4090.0000
"RAINBOW CYCLE SPORT INC",1,3220.0000
"BIKE MASTERS",1,3320.0000
"R C BICYCLE SHOP",1,3950.0000
"BIKES FOR THE LIKES OF US",1,3490.0000
"TRI CY WORLDS LARGEST SPORT",1,3430.0000
"BREAKAWAY CYCLES",1,4090.0000
"DAVE'S BIKEFIX",1,3640.0000
"MIDWEST CYCLERY WESTPORT",1,3340.0000
"MOE'S BIKE SHOP",1,3390.0000
"SPORTS BAG",1,3210.0000
"BICYCLE SPORTS",1,3300.0000
"BEST BICYCLE SHOP",1,3480.0000
"BIKES AND BARGAINS",1,3510.0000
"PAUL'S BICYCLE SHOP",1,3680.0000
"DENO'S CYCLERY",1,3090.0000
"SPORTS WAREHOUSE",1,3160.0000
"ALL SPOKES BICYCLE SHOP",1,2950.0000
"BOULEVARD BICYCLE SHOP",1,2890.0000
"MURRAY'S BIKE SHOP",1,2990.0000
"GOING MOBILE BIKE STORE",1,3150.0000
"MAC'S BIKE SHOP",1,2640.0000
"AMLING'S CYCLE & FITNESS",1,2610.0000
"BIKES AMERICA",1,2650.0000
"THE PRO BIKES",1,2600.0000
"MOUNT MORIAH BICYCLE COMPANY",1,2640.0000
"PEDAL POWER",1,2640.0000
"BREAKAWAY CYCLERY",1,2660.0000
"GARDENA BIKE SHOP",1,3090.0000
